rowNum,ids,family,subfamily,genus,subgenus,species,subspecies,scientificNameAuthorship,scientificName,taxonRank
49,291,Limoniidae,Chioneinae,Amphineurus,Nesormosia,,,"Alexander, 1923",Amphineurus (Nesormosia),subgenus
50,292,Limoniidae,Chioneinae,Amphineurus,Nesormosia,fatuus,,"(Hutton, 1902)",Amphineurus (Nesormosia) fatuus,species
51,293,Limoniidae,Chioneinae,Amphineurus,Nesormosia,niveinervis,,"Edwards, 1923",Amphineurus (Nesormosia) niveinervis,species
52,294,Limoniidae,Chioneinae,Amphineurus,Nesormosia,ochroplaca,,"Alexander, 1925",Amphineurus (Nesormosia) ochroplaca,species
53,295,Limoniidae,Chioneinae,Amphineurus,Nesormosia,subfatuus,,"Alexander, 1922",Amphineurus (Nesormosia) subfatuus,species
54,296,Limoniidae,Chioneinae,Amphineurus,Nothormosia,,,"Alexander, 1923",Amphineurus (Nothormosia),subgenus
55,297,Limoniidae,Chioneinae,Amphineurus,Nothormosia,blackballensis,,"Alexander, 1953",Amphineurus (Nothormosia) blackballensis,species
56,298,Limoniidae,Chioneinae,Amphineurus,Nothormosia,cacoxenus,,"Alexander, 1925",Amphineurus (Nothormosia) cacoxenus,species
57,299,Limoniidae,Chioneinae,Amphineurus,Nothormosia,edentulus,,"Alexander, 1939",Amphineurus (Nothormosia) edentulus,species
58,300,Limoniidae,Chioneinae,Amphineurus,Nothormosia,fimbriatulus,,"Alexander, 1925",Amphineurus (Nothormosia) fimbriatulus,species
59,301,Limoniidae,Chioneinae,Amphineurus,Nothormosia,gracilisentis,,"Alexander, 1922",Amphineurus (Nothormosia) gracilisentis,species
60,302,Limoniidae,Chioneinae,Amphineurus,Nothormosia,harrisi,,"Alexander, 1922",Amphineurus (Nothormosia) harrisi,species
61,303,Limoniidae,Chioneinae,Amphineurus,Nothormosia,hastatus,,"Alexander, 1925",Amphineurus (Nothormosia) hastatus,species
62,304,Limoniidae,Chioneinae,Amphineurus,Nothormosia,horni,,"Edwards, 1923",Amphineurus (Nothormosia) horni,species
63,305,Limoniidae,Chioneinae,Amphineurus,Nothormosia,insulsus,,"(Hutton, 1902)",Amphineurus (Nothormosia) insulsus,species
64,306,Limoniidae,Chioneinae,Amphineurus,Nothormosia,longi,,"Alexander, 1950",Amphineurus (Nothormosia) longi,species
65,307,Limoniidae,Chioneinae,Amphineurus,Nothormosia,meridionalis,,"Alexander, 1924",Amphineurus (Nothormosia) meridionalis,species
66,308,Limoniidae,Chioneinae,Amphineurus,Nothormosia,nothofagi,,"Alexander, 1925",Amphineurus (Nothormosia) nothofagi,species
67,309,Limoniidae,Chioneinae,Amphineurus,Nothormosia,otagensis,,"Alexander, 1922",Amphineurus (Nothormosia) otagensis,species
68,310,Limoniidae,Chioneinae,Amphineurus,Nothormosia,patruelis,,"Alexander, 1925",Amphineurus (Nothormosia) patruelis,species
69,311,Limoniidae,Chioneinae,Amphineurus,Nothormosia,recurvans,,"Alexander, 1922",Amphineurus (Nothormosia) recurvans,species
70,312,Limoniidae,Chioneinae,Amphineurus,Nothormosia,spinulistylus,,"Alexander, 1925",Amphineurus (Nothormosia) spinulistylus,species
71,313,Limoniidae,Chioneinae,Amphineurus,Nothormosia,subglaber,,"Edwards, 1923",Amphineurus (Nothormosia) subglaber,species
72,314,Limoniidae,Chioneinae,Amphineurus,Nothormosia,tortuosus,,"Alexander, 1923",Amphineurus (Nothormosia) tortuosus,species
73,315,Limoniidae,Chioneinae,Amphineurus,Rhamphoneurus,,,"Alexander, 1929",Amphineurus (Rhamphoneurus),subgenus
74,316,Limoniidae,Chioneinae,Amphineurus,Rhamphoneurus,alexanderi,,"Santos, Santos and Ribeiro, 2022",Amphineurus (Rhamphoneurus) alexanderi,species
75,317,Limoniidae,Chioneinae,Amphineurus,Rhamphoneurus,amorimi,,"Santos, Santos and Ribeiro, 2022",Amphineurus (Rhamphoneurus) amorimi,species
76,318,Limoniidae,Chioneinae,Amphineurus,Rhamphoneurus,anchoralis,,"Santos, Santos and Ribeiro, 2022",Amphineurus (Rhamphoneurus) anchoralis,species
77,319,Limoniidae,Chioneinae,Amphineurus,Rhamphoneurus,anfractus,,"Santos, Santos and Ribeiro, 2022",Amphineurus (Rhamphoneurus) anfractus,species
78,320,Limoniidae,Chioneinae,Amphineurus,Rhamphoneurus,apiculatus,,"Alexander, 1968",Amphineurus (Rhamphoneurus) apiculatus,species
79,321,Limoniidae,Chioneinae,Amphineurus,Rhamphoneurus,billinghami,,"Santos, Santos and Ribeiro, 2022",Amphineurus (Rhamphoneurus) billinghami,species
80,322,Limoniidae,Chioneinae,Amphineurus,Rhamphoneurus,caleuchus,,"Santos, Santos and Ribeiro, 2022",Amphineurus (Rhamphoneurus) caleuchus,species
81,323,Limoniidae,Chioneinae,Amphineurus,Rhamphoneurus,chiloeanus,,"Alexander, 1969",Amphineurus (Rhamphoneurus) chiloeanus,species
82,324,Limoniidae,Chioneinae,Amphineurus,Rhamphoneurus,deceptus,,"Santos, Santos and Ribeiro, 2022",Amphineurus (Rhamphoneurus) deceptus,species
83,325,Limoniidae,Chioneinae,Amphineurus,Rhamphoneurus,extraordinarius,,"Alexander, 1939",Amphineurus (Rhamphoneurus) extraordinarius,species
84,326,Limoniidae,Chioneinae,Amphineurus,Rhamphoneurus,falcatus,,"Santos, Santos and Ribeiro, 2022",Amphineurus (Rhamphoneurus) falcatus,species
85,328,Limoniidae,Chioneinae,Amphineurus,Rhamphoneurus,glabristylatus,,"Alexander, 1929",Amphineurus (Rhamphoneurus) glabristylatus,species
86,329,Limoniidae,Chioneinae,Amphineurus,Rhamphoneurus,immaculatus,,"Santos, Santos and Ribeiro, 2022",Amphineurus (Rhamphoneurus) immaculatus,species
87,330,Limoniidae,Chioneinae,Amphineurus,Rhamphoneurus,insanus,,"Alexander, 1952",Amphineurus (Rhamphoneurus) insanus,species
88,331,Limoniidae,Chioneinae,Amphineurus,Rhamphoneurus,morphyi,,"Santos, Santos and Ribeiro, 2022",Amphineurus (Rhamphoneurus) morphyi,species
89,332,Limoniidae,Chioneinae,Amphineurus,Rhamphoneurus,nonnullus,,"Alexander, 1967",Amphineurus (Rhamphoneurus) nonnullus,species
90,333,Limoniidae,Chioneinae,Amphineurus,Rhamphoneurus,nothofagetorum,,"Alexander, 1929",Amphineurus (Rhamphoneurus) nothofagetorum,species
91,334,Limoniidae,Chioneinae,Amphineurus,Rhamphoneurus,nullus,,"Alexander, 1967",Amphineurus (Rhamphoneurus) nullus,species
92,335,Limoniidae,Chioneinae,Amphineurus,Rhamphoneurus,oosterbroeki,,"Santos, Santos and Ribeiro, 2022",Amphineurus (Rhamphoneurus) oosterbroeki,species
93,336,Limoniidae,Chioneinae,Amphineurus,Rhamphoneurus,podenasi,,"Santos, Santos and Ribeiro, 2022",Amphineurus (Rhamphoneurus) podenasi,species
94,337,Limoniidae,Chioneinae,Amphineurus,Rhamphoneurus,rutristylus,,"Alexander, 1968",Amphineurus (Rhamphoneurus) rutristylus,species
95,338,Limoniidae,Chioneinae,Amphineurus,Rhamphoneurus,sanus,,"Alexander, 1929",Amphineurus (Rhamphoneurus) sanus,species
96,339,Limoniidae,Chioneinae,Amphineurus,Rhamphoneurus,stigmaticus,,"Santos, Santos and Ribeiro, 2022",Amphineurus (Rhamphoneurus) stigmaticus,species
97,340,Limoniidae,Chioneinae,Amphineurus,Rhamphoneurus,theischingeri,,"Santos, Santos and Ribeiro, 2022",Amphineurus (Rhamphoneurus) theischingeri,species
98,341,Limoniidae,Chioneinae,Amphineurus,Rhamphoneurus,triangularis,,"Santos, Santos and Ribeiro, 2022",Amphineurus (Rhamphoneurus) triangularis,species
99,342,Limoniidae,Chioneinae,Aphrophila,,,,"Edwards, 1923",Aphrophila,genus
100,343,Limoniidae,Chioneinae,Aphrophila,Aphrophila,,,"Edwards, 1923",Aphrophila (Aphrophila),subgenus
101,344,Limoniidae,Chioneinae,Aphrophila,Aphrophila,neozelandica,,"(Edwards, 1923)",Aphrophila (Aphrophila) neozelandica,species
102,345,Limoniidae,Chioneinae,Aphrophila,Aphrophila,vittipennis,,"Alexander, 1925",Aphrophila (Aphrophila) vittipennis,species
103,346,Limoniidae,Chioneinae,Aphrophila,Magnodonta,,,"Santos and Ribeiro, 2018",Aphrophila (Magnodonta),subgenus
104,347,Limoniidae,Chioneinae,Aphrophila,Magnodonta,alexanderi,,"Santos and Ribeiro, 2018",Aphrophila (Magnodonta) alexanderi,species
105,348,Limoniidae,Chioneinae,Aphrophila,Magnodonta,amblydonta,,"Alexander, 1971",Aphrophila (Magnodonta) amblydonta,species
106,349,Limoniidae,Chioneinae,Aphrophila,Magnodonta,carbonaria,,"Alexander, 1931",Aphrophila (Magnodonta) carbonaria,species
107,350,Limoniidae,Chioneinae,Aphrophila,Magnodonta,chilena,,"Alexander, 1928",Aphrophila (Magnodonta) chilena,species
108,351,Limoniidae,Chioneinae,Aphrophila,Magnodonta,dentata,,"Santos and Ribeiro, 2018",Aphrophila (Magnodonta) dentata,species
109,352,Limoniidae,Chioneinae,Aphrophila,Magnodonta,edwardsi,,"Santos and Ribeiro, 2018",Aphrophila (Magnodonta) edwardsi,species
110,353,Limoniidae,Chioneinae,Aphrophila,Magnodonta,minuscula,,"Santos and Ribeiro, 2018",Aphrophila (Magnodonta) minuscula,species
111,354,Limoniidae,Chioneinae,Aphrophila,Magnodonta,multidentata,,"Alexander, 1931",Aphrophila (Magnodonta) multidentata,species
112,355,Limoniidae,Chioneinae,Aphrophila,Magnodonta,peuma,,"Santos and Ribeiro, 2018",Aphrophila (Magnodonta) peuma,species
113,356,Limoniidae,Chioneinae,Aphrophila,Magnodonta,serra,,"Santos and Ribeiro, 2018",Aphrophila (Magnodonta) serra,species
114,357,Limoniidae,Chioneinae,Aphrophila,Magnodonta,sperancae,,"Santos and Ribeiro, 2018",Aphrophila (Magnodonta) sperancae,species
115,358,Limoniidae,Chioneinae,Aphrophila,Magnodonta,vulcania,,"Santos and Ribeiro, 2018",Aphrophila (Magnodonta) vulcania,species
116,359,Limoniidae,Chioneinae,Aphrophila,Sirena,,,"Santos and Ribeiro, 2018",Aphrophila (Sirena),subgenus
117,360,Limoniidae,Chioneinae,Aphrophila,Sirena,flavopygialis,,"(Alexander, 1922)",Aphrophila (Sirena) flavopygialis,species
118,361,Limoniidae,Chioneinae,Aphrophila,Sirena,luteipes,,"Alexander, 1926",Aphrophila (Sirena) luteipes,species
119,362,Limoniidae,Chioneinae,Aphrophila,Sirena,monacantha,,"Alexander, 1926",Aphrophila (Sirena) monacantha,species
120,363,Limoniidae,Chioneinae,Aphrophila,Sirena,tridentata,,"Alexander, 1926",Aphrophila (Sirena) tridentata,species
121,364,Limoniidae,Chioneinae,Aphrophila,Sirena,trifida,,"Alexander, 1926",Aphrophila (Sirena) trifida,species
122,365,Limoniidae,Chioneinae,Aphrophila,Sirena,triton,,"(Alexander, 1922)",Aphrophila (Sirena) triton,species
123,366,Limoniidae,Chioneinae,Aphrophila,Spinalia,,,"Santos and Ribeiro, 2018",Aphrophila (Spinalia),subgenus
124,367,Limoniidae,Chioneinae,Aphrophila,Spinalia,aequalitas,,"Santos and Ribeiro, 2018",Aphrophila (Spinalia) aequalitas,species
125,368,Limoniidae,Chioneinae,Aphrophila,Spinalia,antennata,,"Alexander, 1954",Aphrophila (Spinalia) antennata,species
126,369,Limoniidae,Chioneinae,Aphrophila,Spinalia,argentina,,"Santos and Ribeiro, 2018",Aphrophila (Spinalia) argentina,species
127,370,Limoniidae,Chioneinae,Aphrophila,Spinalia,aurantiaca,,"Alexander, 1944",Aphrophila (Spinalia) aurantiaca,species
128,371,Limoniidae,Chioneinae,Aphrophila,Spinalia,bidentata,,"Alexander, 1968",Aphrophila (Spinalia) bidentata,species
129,372,Limoniidae,Chioneinae,Aphrophila,Spinalia,coronata,,"Alexander, 1944",Aphrophila (Spinalia) coronata,species
130,373,Limoniidae,Chioneinae,Aphrophila,Spinalia,dupla,,"Santos and Ribeiro, 2018",Aphrophila (Spinalia) dupla,species
131,374,Limoniidae,Chioneinae,Aphrophila,Spinalia,huahua,,"Santos and Ribeiro, 2018",Aphrophila (Spinalia) huahua,species
132,375,Limoniidae,Chioneinae,Aphrophila,Spinalia,penta,,"Santos and Ribeiro, 2018",Aphrophila (Spinalia) penta,species
133,376,Limoniidae,Chioneinae,Aphrophila,Spinalia,regia,,"Santos and Ribeiro, 2018",Aphrophila (Spinalia) regia,species
134,377,Limoniidae,Chioneinae,Aphrophila,Spinalia,subterminalis,,"Alexander, 1967",Aphrophila (Spinalia) subterminalis,species
135,378,Limoniidae,Chioneinae,Aphrophila,Spinalia,viridinervis,,"Alexander, 1934",Aphrophila (Spinalia) viridinervis,species
136,380,Limoniidae,Chioneinae,Aphrophila,Zelandica,,,"Santos and Ribeiro, 2018",Aphrophila (Zelandica),subgenus
137,381,Limoniidae,Chioneinae,Aphrophila,Zelandica,whakapapa,,"Santos and Ribeiro, 2018",Aphrophila (Zelandica) whakapapa,species
138,383,Limoniidae,Chioneinae,Arctoconopa,,,,"Alexander, 1955",Arctoconopa,genus
139,385,Limoniidae,Chioneinae,Arctoconopa,,aldrichi,,"(Alexander, 1924)",Arctoconopa aldrichi,species
140,387,Limoniidae,Chioneinae,Arctoconopa,,australis,,"Savchenko, 1982",Arctoconopa australis,species
141,388,Limoniidae,Chioneinae,Arctoconopa,,bifurcata,,"(Alexander, 1919)",Arctoconopa bifurcata,species
142,389,Limoniidae,Chioneinae,Arctoconopa,,carbonipes,,"(Alexander, 1929)",Arctoconopa carbonipes,species
143,390,Limoniidae,Chioneinae,Arctoconopa,,cinctipennis,,"(Alexander, 1918)",Arctoconopa cinctipennis,species
144,391,Limoniidae,Chioneinae,Arctoconopa,,forcipata,forcipata,"(Lundstrom, 1915)",Arctoconopa forcipata forcipata,subspecies
145,392,Limoniidae,Chioneinae,Arctoconopa,,forcipata,kostjukovi,"Savchenko, 1971",Arctoconopa forcipata kostjukovi,subspecies
146,393,Limoniidae,Chioneinae,Arctoconopa,,gaspicola,,"(Alexander, 1929)",Arctoconopa gaspicola,species
147,394,Limoniidae,Chioneinae,Arctoconopa,,insulana,,"Savchenko, 1971",Arctoconopa insulana,species
148,395,Limoniidae,Chioneinae,Arctoconopa,,katmai,,"(Alexander, 1920)",Arctoconopa katmai,species
149,396,Limoniidae,Chioneinae,Arctoconopa,,kluane,,"(Alexander, 1955)",Arctoconopa kluane,species
150,399,Limoniidae,Chioneinae,Arctoconopa,,manitobensis,,"(Alexander, 1929)",Arctoconopa manitobensis,species
151,400,Limoniidae,Chioneinae,Arctoconopa,,megaura,,"(Alexander, 1932)",Arctoconopa megaura,species
152,401,Limoniidae,Chioneinae,Arctoconopa,,melampodia,,"(Loew, 1873)",Arctoconopa melampodia,species
153,402,Limoniidae,Chioneinae,Arctoconopa,,obscuripes,,"(Zetterstedt, 1851)",Arctoconopa obscuripes,species
154,403,Limoniidae,Chioneinae,Arctoconopa,,pahasapa,,"(Alexander, 1955)",Arctoconopa pahasapa,species
155,404,Limoniidae,Chioneinae,Arctoconopa,,painteri,,"(Alexander, 1929)",Arctoconopa painteri,species
156,405,Limoniidae,Chioneinae,Arctoconopa,,quadrivittata,,"(Siebke, 1872)",Arctoconopa quadrivittata,species
157,406,Limoniidae,Chioneinae,Arctoconopa,,taimyrensis,,"(Lackschewitz, 1964)",Arctoconopa taimyrensis,species
158,409,Limoniidae,Chioneinae,Arctoconopa,,zonata,,"(Zetterstedt, 1851)",Arctoconopa zonata,species
159,410,Limoniidae,Chioneinae,Atarba,,,,"Osten Sacken, 1869",Atarba,genus
160,411,Limoniidae,Chioneinae,Atarba,Atarba,,,"Osten Sacken, 1869",Atarba (Atarba),subgenus
161,412,Limoniidae,Chioneinae,Atarba,Atarba,almeidai,,"Alexander, 1946",Atarba (Atarba) almeidai,species
162,413,Limoniidae,Chioneinae,Atarba,Atarba,amabilis,,"Alexander, 1928",Atarba (Atarba) amabilis,species
163,414,Limoniidae,Chioneinae,Atarba,Atarba,angustipennis,,"Alexander, 1928",Atarba (Atarba) angustipennis,species
164,415,Limoniidae,Chioneinae,Atarba,Atarba,anthracina,,"Alexander, 1937",Atarba (Atarba) anthracina,species
165,416,Limoniidae,Chioneinae,Atarba,Atarba,apache,,"Alexander, 1949",Atarba (Atarba) apache,species
166,417,Limoniidae,Chioneinae,Atarba,Atarba,aperta,aperta,"Alexander, 1926",Atarba (Atarba) aperta aperta,subspecies
167,418,Limoniidae,Chioneinae,Atarba,Atarba,aperta,subaperta,"Alexander, 1945",Atarba (Atarba) aperta subaperta,subspecies
168,419,Limoniidae,Chioneinae,Atarba,Atarba,apicispinosa,,"Alexander, 1934",Atarba (Atarba) apicispinosa,species
169,420,Limoniidae,Chioneinae,Atarba,Atarba,bellamyi,,"Alexander, 1950",Atarba (Atarba) bellamyi,species
170,421,Limoniidae,Chioneinae,Atarba,Atarba,bifilosa,,"Alexander, 1948",Atarba (Atarba) bifilosa,species
171,422,Limoniidae,Chioneinae,Atarba,Atarba,bifurcula,,"Alexander, 1931",Atarba (Atarba) bifurcula,species
172,423,Limoniidae,Chioneinae,Atarba,Atarba,bipendula,,"Alexander, 1966",Atarba (Atarba) bipendula,species
173,424,Limoniidae,Chioneinae,Atarba,Atarba,biproducta,,"Alexander, 1966",Atarba (Atarba) biproducta,species
174,425,Limoniidae,Chioneinae,Atarba,Atarba,boliviana,,"Alexander, 1930",Atarba (Atarba) boliviana,species
175,426,Limoniidae,Chioneinae,Atarba,Atarba,brevicornis,,"Alexander, 1929",Atarba (Atarba) brevicornis,species
176,427,Limoniidae,Chioneinae,Atarba,Atarba,brevissima,,"Alexander, 1944",Atarba (Atarba) brevissima,species
177,428,Limoniidae,Chioneinae,Atarba,Atarba,brunneicornis,,"Alexander, 1916",Atarba (Atarba) brunneicornis,species
178,429,Limoniidae,Chioneinae,Atarba,Atarba,bulbifera,,"Alexander, 1943",Atarba (Atarba) bulbifera,species
179,430,Limoniidae,Chioneinae,Atarba,Atarba,capensis,,"Alexander, 1917",Atarba (Atarba) capensis,species
180,431,Limoniidae,Chioneinae,Atarba,Atarba,cincticornis,cincticornis,"Alexander, 1916",Atarba (Atarba) cincticornis cincticornis,subspecies
181,432,Limoniidae,Chioneinae,Atarba,Atarba,cincticornis,thamia,"Alexander, 1950",Atarba (Atarba) cincticornis thamia,subspecies
182,433,Limoniidae,Chioneinae,Atarba,Atarba,circe,,"Alexander, 1946",Atarba (Atarba) circe,species
183,434,Limoniidae,Chioneinae,Atarba,Atarba,columbiana,,"Alexander, 1913",Atarba (Atarba) columbiana,species
184,435,Limoniidae,Chioneinae,Atarba,Atarba,cucullata,,"Alexander, 1946",Atarba (Atarba) cucullata,species
185,436,Limoniidae,Chioneinae,Atarba,Atarba,dasycera,,"Alexander, 1948",Atarba (Atarba) dasycera,species
186,437,Limoniidae,Chioneinae,Atarba,Atarba,diacantha,,"Alexander, 1945",Atarba (Atarba) diacantha,species
187,438,Limoniidae,Chioneinae,Atarba,Atarba,dilatistyla,,"Alexander, 1966",Atarba (Atarba) dilatistyla,species
188,439,Limoniidae,Chioneinae,Atarba,Atarba,dinematophora,,"Alexander, 1943",Atarba (Atarba) dinematophora,species
189,440,Limoniidae,Chioneinae,Atarba,Atarba,distispina,,"Alexander, 1969",Atarba (Atarba) distispina,species
190,441,Limoniidae,Chioneinae,Atarba,Atarba,edax,,"Alexander, 1948",Atarba (Atarba) edax,species
191,442,Limoniidae,Chioneinae,Atarba,Atarba,fiebrigi,,"Alexander, 1922",Atarba (Atarba) fiebrigi,species
192,443,Limoniidae,Chioneinae,Atarba,Atarba,fieldiana,,"Alexander, 1969",Atarba (Atarba) fieldiana,species
193,444,Limoniidae,Chioneinae,Atarba,Atarba,filicornis,,"Alexander, 1922",Atarba (Atarba) filicornis,species
194,445,Limoniidae,Chioneinae,Atarba,Atarba,forticornis,,"Alexander, 1947",Atarba (Atarba) forticornis,species
195,446,Limoniidae,Chioneinae,Atarba,Atarba,fuscoapicalis,,"Alexander, 1944",Atarba (Atarba) fuscoapicalis,species
196,447,Limoniidae,Chioneinae,Atarba,Atarba,heteracantha,,"Alexander, 1943",Atarba (Atarba) heteracantha,species
197,448,Limoniidae,Chioneinae,Atarba,Atarba,hirticornis,,"Alexander, 1943",Atarba (Atarba) hirticornis,species
198,449,Limoniidae,Chioneinae,Atarba,Atarba,idonea,,"Alexander, 1939",Atarba (Atarba) idonea,species
199,450,Limoniidae,Chioneinae,Atarba,Atarba,incisurata,,"Alexander, 1938",Atarba (Atarba) incisurata,species
200,451,Limoniidae,Chioneinae,Atarba,Atarba,laddeyana,,"Alexander, 1944",Atarba (Atarba) laddeyana,species
201,452,Limoniidae,Chioneinae,Atarba,Atarba,laterospina,,"Alexander, 1962",Atarba (Atarba) laterospina,species
202,453,Limoniidae,Chioneinae,Atarba,Atarba,longitergata,,"Alexander, 1945",Atarba (Atarba) longitergata,species
203,454,Limoniidae,Chioneinae,Atarba,Atarba,lyriformis,,"Alexander, 1966",Atarba (Atarba) lyriformis,species
204,455,Limoniidae,Chioneinae,Atarba,Atarba,macracantha,,"Alexander, 1943",Atarba (Atarba) macracantha,species
205,456,Limoniidae,Chioneinae,Atarba,Atarba,margarita,,"Alexander, 1979",Atarba (Atarba) margarita,species
